Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
186,Assassin's Creed,X360,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.0,3.28,1.64,0.07,0.56,5.55
187,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,,2.72,1.89,0.11,0.82,5.54
188,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
189,Monster Hunter Freedom Unite,PSP,2009,Role-Playing,Capcom  ,Capcom Production Studio 1  ,7.7,9.7,0.47,0.57,4.13,0.34,5.5
190,Super Mario Advance,GBA,2001,Platform,Nintendo  ,Nintendo EAD  ,8.2,,3.14,1.24,0.91,0.2,5.49
191,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47
192,Super Mario World: Super Mario Advance 2,GBA,2002,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
193,Pokémon Stadium,N64,2000,Strategy,Nintendo  ,HAL Laboratory  ,7.5,,3.18,1.24,0.94,0.09,5.45
194,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44
195,Minecraft,XOne,2014,Misc,Microsoft Studios  ,Mojang  ,,,3.23,1.71,,0.49,5.43
196,Call of Duty: World at War,PS3,2008,Shooter,Activision  ,Treyarch  ,8.4,,2.75,1.84,,0.84,5.43
